beta,tau,mcrit,m_front,width,finite,valid,tau_onset,delta_tau_from_onset,abs_offset
0.5,0.0,-0.34499999999999975,,,False,False,0.2,-0.2,
0.5,0.05,-0.41000000000000014,,,False,False,0.2,-0.15000000000000002,
0.5,0.1,-0.41000000000000014,,,False,False,0.2,-0.1,
0.5,0.15000000000000002,-0.41000000000000014,,,False,False,0.2,-0.04999999999999999,
0.5,0.2,-0.41000000000000014,-2.019567610888209,0.7528781376574684,True,False,0.2,0.0,1.6095676108882087
0.5,0.25,-0.41000000000000014,-2.0146336224156265,0.7432179698091299,True,False,0.2,0.04999999999999999,1.6046336224156263
0.5,0.30000000000000004,-0.47499999999999964,-2.0497288032216368,0.7488880952186325,True,False,0.2,0.10000000000000003,1.574728803221637
0.5,0.35000000000000003,-0.47499999999999964,-2.0381729705179366,0.736823529336097,True,False,0.2,0.15000000000000002,1.563172970517937
0.5,0.4,-0.47499999999999964,-2.0234760481688725,0.7244254687649165,True,False,0.2,0.2,1.5484760481688729
0.5,0.45,-0.47499999999999964,-2.005928539324383,0.7120449513438293,True,False,0.2,0.25,1.5309285393243832
0.5,0.5,-0.54,-2.021563309710835,0.7152821909002212,True,False,0.2,0.3,1.4815633097108352
0.5,0.55,-0.54,-1.9980811600492405,0.7030529694776858,True,False,0.2,0.35000000000000003,1.4580811600492405
0.5,0.6000000000000001,-0.54,-1.9736037565386504,0.6915376536728335,True,False,0.2,0.4000000000000001,1.4336037565386504
0.5,0.65,-0.54,-1.9488440645218645,0.6808855996150434,True,False,0.2,0.45,1.4088440645218645
0.5,0.7000000000000001,-0.6049999999999995,-1.952558141890701,0.6845690025033437,True,False,0.2,0.5,1.3475581418907014
0.5,0.75,-0.6049999999999995,-1.9281229157357922,0.6757348849268482,True,False,0.2,0.55,1.3231229157357927
0.5,0.8,-0.6049999999999995,-1.9056872883987213,0.6682392508489465,True,False,0.2,0.6000000000000001,1.3006872883987217
0.5,0.8500000000000001,-0.6699999999999999,-1.9102561059197467,0.6749696204880645,True,False,0.2,0.6500000000000001,1.2402561059197468
0.5,0.9,-0.6699999999999999,-1.8933305455256282,0.6704892097940646,True,False,0.2,0.7,1.2233305455256283
0.5,0.9500000000000001,-0.7349999999999994,-1.9037645898053561,0.6807959970731274,True,False,0.2,0.75,1.1687645898053567
0.5,1.0,-0.7349999999999994,-1.8956900872964935,0.680125760120094,True,False,0.2,0.8,1.160690087296494
0.5,1.05,-0.7999999999999998,-1.916472813632412,0.6951283174536743,True,False,0.2,0.8500000000000001,1.1164728136324122
0.5,1.1,-0.7999999999999998,-1.9196009945927537,0.6986287022279667,True,False,0.2,0.9000000000000001,1.1196009945927539
0.5,1.1500000000000001,-0.8650000000000002,-1.9536970699230947,0.7191436335485991,True,False,0.2,0.9500000000000002,1.0886970699230945
0.5,1.2000000000000002,-0.8650000000000002,-1.9685077960777064,0.7261128615876593,True,False,0.2,1.0000000000000002,1.1035077960777062
0.5,1.25,-0.9299999999999997,-2.016025927273215,0.7509593069106332,True,False,0.2,1.05,1.0860259272732153
0.5,1.3,-0.9950000000000001,-2.069830617154634,0.7776875157827148,True,False,0.2,1.1,1.074830617154634
0.5,1.35,-0.9950000000000001,-2.0979636345256982,0.7861676535841541,True,False,0.2,1.1500000000000001,1.1029636345256981
0.5,1.4000000000000001,-1.0599999999999996,-2.15907093615047,0.813104235011192,True,False,0.2,1.2000000000000002,1.0990709361504702
0.5,1.4500000000000002,-1.125,-2.2222747380472927,0.8399792185421593,True,False,0.2,1.2500000000000002,1.0972747380472927
0.5,1.5,-1.1899999999999995,-2.2861285569276353,0.8654589374867673,True,False,0.2,1.3,1.0961285569276358
0.5,1.55,-1.1899999999999995,-2.31590128688503,0.8676221556674785,True,False,0.2,1.35,1.1259012868850307
